Dataset,Difficulty,Backend,Size,F1-Score,AUC,Time
cifar10,easy,classical,1000,0.7533,0.8077,0m49.121s
cifar10,easy,classical,2500,0.7890,0.8528,1m6.396s
cifar10,easy,classical,500,0.7422,0.7849,0m30.094s
cifar10,easy,classical,5000,0.7971,0.8559,2m25.519s
cifar10,easy,classical,all,0.8026,0.8726,6m20.405s
cifar10,easy,cuda,states_1000,0.4121,0.4510,0m7.982s
cifar10,easy,cuda,states_2500,FAILED,FAILED,0m6.325s
cifar10,easy,cuda,states_500,0.6667,0.3668,0m7.150s
cifar10,easy,cuda,states_5000,FAILED,FAILED,0m7.088s
cifar10,easy,cuda,states_all,FAILED,FAILED,0m6.926s
cifar10,easy,torch,1000,0.5104,0.5480,0m7.047s
cifar10,easy,torch,2500,0.5563,0.6432,0m6.999s
cifar10,easy,torch,500,0.5037,0.4501,0m7.112s
cifar10,easy,torch,5000,FAILED,FAILED,0m6.890s
cifar10,easy,torch,all,FAILED,FAILED,0m7.718s
cifar10,hard,classical,1000,0.5962,0.4792,1m1.180s
cifar10,hard,classical,2500,0.4055,0.5026,1m18.871s
cifar10,hard,classical,500,0.1237,0.4809,0m42.382s
cifar10,hard,classical,5000,0.2222,0.4331,2m20.774s
cifar10,hard,classical,all,0.5414,0.5000,6m16.964s
cifar10,hard,cuda,states_1000,FAILED,FAILED,0m6.610s
cifar10,hard,cuda,states_2500,FAILED,FAILED,0m7.006s
cifar10,hard,cuda,states_500,FAILED,FAILED,0m6.105s
cifar10,hard,cuda,states_5000,FAILED,FAILED,0m7.116s
cifar10,hard,cuda,states_all,FAILED,FAILED,0m7.542s
cifar10,hard,torch,1000,FAILED,FAILED,0m7.126s
cifar10,hard,torch,2500,FAILED,FAILED,0m6.143s
cifar10,hard,torch,500,FAILED,FAILED,0m7.569s
cifar10,hard,torch,5000,FAILED,FAILED,0m6.671s
cifar10,hard,torch,all,FAILED,FAILED,0m6.779s
cifar10,med,classical,1000,0.7028,0.7290,0m49.869s
cifar10,med,classical,2500,0.7193,0.7590,1m18.762s
cifar10,med,classical,500,0.6543,0.6715,0m34.120s
cifar10,med,classical,5000,0.7338,0.7751,2m20.585s
cifar10,med,classical,all,0.7390,0.7736,5m55.815s
cifar10,med,cuda,states_1000,FAILED,FAILED,0m7.751s
cifar10,med,cuda,states_2500,FAILED,FAILED,0m6.866s
cifar10,med,cuda,states_500,FAILED,FAILED,0m7.169s
cifar10,med,cuda,states_5000,FAILED,FAILED,0m6.519s
cifar10,med,cuda,states_all,FAILED,FAILED,0m5.372s
cifar10,med,torch,1000,FAILED,FAILED,0m5.988s
cifar10,med,torch,2500,FAILED,FAILED,0m7.361s
cifar10,med,torch,500,FAILED,FAILED,0m6.742s
cifar10,med,torch,5000,FAILED,FAILED,0m6.480s
cifar10,med,torch,all,FAILED,FAILED,0m7.416s
fashion,easy,classical,1000,0.9826,0.9974,0m13.832s
fashion,easy,classical,2500,0.9831,0.9980,0m16.797s
fashion,easy,classical,500,0.9752,0.9957,0m10.700s
fashion,easy,classical,5000,0.9862,0.9989,0m21.242s
fashion,easy,classical,all,0.9864,0.9993,0m48.409s
fashion,easy,cuda,states_1000,0.9584,0.9928,36m50.847s
fashion,easy,cuda,states_2500,0.9599,0.9934,49m15.252s
fashion,easy,cuda,states_500,0.9527,0.9921,27m22.833s
fashion,easy,cuda,states_5000,0.9688,0.9956,58m47.170s
fashion,easy,cuda,states_all,0.9756,0.9964,100m42.374s
fashion,easy,torch,1000,0.9629,0.9938,20m39.019s
fashion,easy,torch,2500,0.9602,0.9935,37m9.851s
fashion,easy,torch,500,0.9528,0.9922,9m27.623s
fashion,easy,torch,5000,0.9687,0.9955,52m29.577s
fashion,easy,torch,all,0.9750,0.9965,83m45.749s
fashion,hard,classical,1000,0.8111,0.9020,0m15.546s
fashion,hard,classical,2500,0.8344,0.9164,1m0.581s
fashion,hard,classical,500,0.8002,0.8937,0m10.166s
fashion,hard,classical,5000,0.8396,0.9176,1m35.851s
fashion,hard,classical,all,0.8265,0.9163,6m38.559s
fashion,hard,cuda,states_1000,0.7705,0.8783,36m4.300s
fashion,hard,cuda,states_2500,0.7692,0.8834,0m6.915s
fashion,hard,cuda,states_500,0.7634,0.8844,29m28.787s
fashion,hard,cuda,states_5000,0.7767,0.8885,0m6.956s
fashion,hard,cuda,states_all,0.7815,0.8893,0m7.778s
fashion,hard,torch,1000,0.7709,0.8780,18m15.964s
fashion,hard,torch,2500,0.7672,0.8832,0m6.851s
fashion,hard,torch,500,0.7577,0.8849,10m49.983s
fashion,hard,torch,5000,0.7742,0.8871,0m7.383s
fashion,hard,torch,all,0.7907,0.8945,0m6.809s
fashion,med,classical,1000,0.9872,0.9984,0m15.024s
fashion,med,classical,2500,0.9885,0.9979,0m16.902s
fashion,med,classical,500,0.9850,0.9980,0m12.885s
fashion,med,classical,5000,0.9910,0.9984,0m23.295s
fashion,med,classical,all,0.9917,0.9987,3m6.713s
fashion,med,cuda,states_1000,0.9651,0.9956,37m29.486s
fashion,med,cuda,states_2500,0.9575,0.9948,46m38.725s
fashion,med,cuda,states_500,0.9562,0.9954,29m34.714s
fashion,med,cuda,states_5000,0.9807,0.9967,77m56.801s
fashion,med,cuda,states_all,0.9829,0.9971,0m6.883s
fashion,med,torch,1000,0.9646,0.9955,19m34.468s
fashion,med,torch,2500,0.9663,0.9955,33m37.566s
fashion,med,torch,500,0.9567,0.9954,11m26.512s
fashion,med,torch,5000,0.9804,0.9967,66m58.643s
fashion,med,torch,all,0.9824,0.9971,0m5.361s
svhn,easy,classical,1000,0.7924,0.9412,1m33.100s
svhn,easy,classical,2500,0.8575,0.9668,2m6.243s
svhn,easy,classical,500,0.7721,0.9254,1m50.252s
svhn,easy,classical,5000,0.8494,0.9703,3m25.731s
svhn,easy,classical,all,0.8640,0.9747,17m44.987s
svhn,easy,cuda,states_1000,FAILED,FAILED,0m7.718s
svhn,easy,cuda,states_2500,FAILED,FAILED,0m7.965s
svhn,easy,cuda,states_500,FAILED,FAILED,0m7.154s
svhn,easy,cuda,states_5000,FAILED,FAILED,0m6.361s
svhn,easy,cuda,states_all,FAILED,FAILED,0m6.898s
svhn,easy,torch,1000,FAILED,FAILED,0m6.229s
svhn,easy,torch,2500,FAILED,FAILED,0m6.989s
svhn,easy,torch,500,FAILED,FAILED,0m6.737s
svhn,easy,torch,5000,FAILED,FAILED,0m7.198s
svhn,easy,torch,all,FAILED,FAILED,0m7.469s
svhn,hard,classical,1000,0.6933,0.7170,0m41.880s
svhn,hard,classical,2500,0.7537,0.8487,0m40.269s
svhn,hard,classical,500,0.1712,0.4739,0m36.806s
svhn,hard,classical,5000,0.7844,0.8688,1m15.854s
svhn,hard,classical,all,0.7688,0.8638,6m26.140s
svhn,hard,cuda,states_1000,FAILED,FAILED,0m7.674s
svhn,hard,cuda,states_2500,FAILED,FAILED,0m6.619s
svhn,hard,cuda,states_500,FAILED,FAILED,0m7.131s
svhn,hard,cuda,states_5000,FAILED,FAILED,0m7.204s
svhn,hard,cuda,states_all,FAILED,FAILED,0m4.857s
svhn,hard,torch,1000,FAILED,FAILED,0m6.740s
svhn,hard,torch,2500,FAILED,FAILED,0m6.580s
svhn,hard,torch,500,FAILED,FAILED,0m6.544s
svhn,hard,torch,5000,FAILED,FAILED,0m5.246s
svhn,hard,torch,all,FAILED,FAILED,0m4.599s
svhn,med,classical,1000,0.7494,0.8957,0m41.785s
svhn,med,classical,2500,0.8015,0.9216,0m52.347s
svhn,med,classical,500,0.3914,0.6049,1m14.907s
svhn,med,classical,5000,0.7954,0.9190,1m35.387s
svhn,med,classical,all,0.7864,0.9156,9m19.542s
svhn,med,cuda,states_1000,FAILED,FAILED,0m6.162s
svhn,med,cuda,states_2500,FAILED,FAILED,0m7.535s
svhn,med,cuda,states_500,FAILED,FAILED,0m6.612s
svhn,med,cuda,states_5000,FAILED,FAILED,0m6.710s
svhn,med,cuda,states_all,FAILED,FAILED,0m5.530s
svhn,med,torch,1000,FAILED,FAILED,0m7.391s
svhn,med,torch,2500,FAILED,FAILED,0m6.672s
svhn,med,torch,500,FAILED,FAILED,0m5.811s
svhn,med,torch,5000,FAILED,FAILED,0m6.978s
svhn,med,torch,all,FAILED,FAILED,0m6.787s
